model	abbrev	name	lhs	op	rhs	Unstand_Est	Unstand_SE	STD_Genotype	STD_Genotype_SE	STD_All	p_value
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommAppInc	0.1841535638827905	0.0210498656852324	0.5055293665013341	0.0577850848987453	0.5055296175906931	2.163153318749528e-18
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommSleDec	0.18720475987644944	0.0180844866251028	0.7316554538993696	0.070679908681662	0.7316555312800005	4.1121986607944324e-25
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommSleInc	0.24640373226335383	0.0224289249160689	0.8035632241519609	0.0731445426722571	0.8035632561380163	4.463649478776685e-28
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommFatig	0.17336321061438967	0.0218276509498561	0.6500534738794472	0.08184625666596	0.6500530862093704	1.983592923504352e-15
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommGuilt	0.16992406803138957	0.015009534009043	0.653744718480133	0.0577457960714675	0.653745094381222	1.031979814358811e-29
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommConc	0.19164733774642453	0.0173989642609311	0.8439562089022448	0.0766196988792732	0.8439553869518672	3.2400228238628508e-28
D	Case-Comm-Gate	Case-Community-Gating	COMM	=~	CommSui	0.12675698752856043	0.0143580545779266	0.6556653292374256	0.0742686764931262	0.6556656214856952	1.0629361207549989e-18
D	Case-Comm-Gate	Case-Community-Gating	GATE	=~	CommDep	0.21679064483607474	0.0176532515382762	0.7356714124468653	0.0599053614245936	0.7356714585806519	1.152925008533473e-34
D	Case-Comm-Gate	Case-Community-Gating	GATE	=~	CommAnh	0.1715751826049937	0.0161997994295579	0.5871133347326457	0.0554339758303562	0.5871130725466096	3.27396689556746e-26
D	Case-Comm-Gate	Case-Community-Gating	GATE	=~	UkbDep	0.15247598381253624	0.0201209171865099	0.7193655297714934	0.0949284604325953	0.719365590641115	3.509662989587555e-14
D	Case-Comm-Gate	Case-Community-Gating	GATE	=~	UkbAnh	0.11906811122356943	0.0214817527911963	0.5381598735859843	0.0970924032001496	0.5381600950229345	2.9774786576301095e-8
D	Case-Comm-Gate	Case-Community-Gating	CaseAppDec	~~	CaseAppDec	0.1010831729775357	0.0284245678596921	0.9927760277019414	0.27916844894336	0.9927754552057337	3.7627154641867936e-4
D	Case-Comm-Gate	Case-Community-Gating	CaseAppInc	~~	CaseAppInc	0.11535306496541747	0.0290370658892775	0.8721435280492114	0.219537406418231	0.8721415185685182	7.108808759854319e-5
D	Case-Comm-Gate	Case-Community-Gating	CaseSleDec	~~	CaseSleDec	0.08238053856299991	0.0366737552237721	0.9464968384836546	0.421355422828271	0.9464948635125223	0.024684306025808973
D	Case-Comm-Gate	Case-Community-Gating	CaseSleInc	~~	CaseSleInc	0.05433898327670589	0.0280053942575264	0.8932108265351728	0.460341365450947	0.8932081748908905	0.052342734832206216
D	Case-Comm-Gate	Case-Community-Gating	CaseMotoInc	~~	CaseMotoInc	0.03413158295570296	0.0183046670078185	0.8645135827844891	0.463634287248686	0.8645108639769625	0.06223212222388382
D	Case-Comm-Gate	Case-Community-Gating	CaseMotoDec	~~	CaseMotoDec	0.023920443569985544	0.0215462632275007	0.8980356112565728	0.808924015263325	0.8980545340346716	0.26691720905747296
D	Case-Comm-Gate	Case-Community-Gating	CaseGuilt	~~	CaseGuilt	0.03890739237389798	0.0494337458700123	0.5273528999682854	0.670028202162509	0.5273537680433473	0.4312459341988769
D	Case-Comm-Gate	Case-Community-Gating	CaseSui	~~	CaseSui	0.03002834023799284	0.0296400992913935	0.43461903238667293	0.428998792934701	0.434619213302861	0.31101311298729645
D	Case-Comm-Gate	Case-Community-Gating	CommDep	~~	CommDep	0.0042783799187205845	0.0040258745912769	0.04926485611160215	0.0463603155807271	0.049264862290378124	0.28790866956093863
D	Case-Comm-Gate	Case-Community-Gating	CommAnh	~~	CommAnh	0.009375728373872997	0.0029560148521679	0.10978289045100321	0.0346131176603211	0.1097827923999703	0.0015152545674897307
D	Case-Comm-Gate	Case-Community-Gating	CommAppDec	~~	CommAppDec	0.03586355106860144	0.00791249626582746	0.748416953850985	0.165121496898941	0.7484173598703434	5.828403381936016e-6
D	Case-Comm-Gate	Case-Community-Gating	CommAppInc	~~	CommAppInc	0.09878641690340792	0.0118625325443034	0.7444390662334993	0.0893944013687159	0.7444398057386076	8.249824494643196e-17
D	Case-Comm-Gate	Case-Community-Gating	CommSleDec	~~	CommSleDec	0.03042103852370808	0.0106738149490819	0.46468008525729054	0.163041937403145	0.46468018354738017	0.004371065428620945
D	Case-Comm-Gate	Case-Community-Gating	CommSleInc	~~	CommSleInc	0.03331223922286752	0.0127621148360589	0.35428606517995964	0.135728062109005	0.35428609338486894	0.009047754783514588
D	Case-Comm-Gate	Case-Community-Gating	CommFatig	~~	CommFatig	0.04106903233049226	0.0132423645670547	0.5774316738312122	0.186186929444316	0.5774309851096728	0.0019264904424313222
D	Case-Comm-Gate	Case-Community-Gating	CommGuilt	~~	CommGuilt	0.03868640344522239	0.00715486209477135	0.5726166930668221	0.105902846705167	0.5726173515724872	6.40859390635714e-8
D	Case-Comm-Gate	Case-Community-Gating	CommConc	~~	CommConc	0.014837570340285777	0.00816417643149676	0.28773986530897067	0.158323877584025	0.2877393048349241	0.06915596096264226
D	Case-Comm-Gate	Case-Community-Gating	CommSui	~~	CommSui	0.021307577742762072	0.00549923282310651	0.5701020845809596	0.147137141212951	0.5701025928017771	1.0678002620013824e-4
D	Case-Comm-Gate	Case-Community-Gating	UkbDep	~~	UkbDep	0.0059443144028331505	0.00462895868286145	0.13231392946772652	0.103034197733119	0.1323139518594004	0.1990866715247492
D	Case-Comm-Gate	Case-Community-Gating	UkbAnh	~~	UkbAnh	0.011151120030667693	0.00484111847807836	0.2277988013741869	0.098895901345269	0.22779898883923105	0.02125532912377416
D	Case-Comm-Gate	Case-Community-Gating	CASE	~~	COMM	-0.751804869811546	0.167203142636546	-0.7518100587175264	0.167205474376027	-0.7518100587175264	6.912792684904945e-6
D	Case-Comm-Gate	Case-Community-Gating	CASE	~~	CASE	1		1		1	NA
D	Case-Comm-Gate	Case-Community-Gating	GATE	~~	GATE	1		1		1	NA
D	Case-Comm-Gate	Case-Community-Gating	COMM	~~	COMM	1		1		1	NA
D	Case-Comm-Gate	Case-Community-Gating	COMM	~~	GATE	0		0		0	NA
D	Case-Comm-Gate	Case-Community-Gating	CASE	~~	GATE	0		0		0	NA
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CaseMotoInc	0.05521645570751967	0.023854514702493	0.2778915861610991	0.12005427485922	0.2778915658972759	0.02062841331949058
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CaseMotoDec	0.038486849307245365	0.0263692680841369	0.23581934192251594	0.16157205040638	0.23581911873736358	0.14441812731567905
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CaseGuilt	0.14098461727151587	0.041199066593258	0.5190476727647259	0.151677928816712	0.5190472519953732	6.215448180443984e-4
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CaseSui	0.1527061281085725	0.0302382208623478	0.5809594579914937	0.115038953672228	0.5809590078965727	4.4157204193942883e-7
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CommDep	0.2026607494892786	0.0172807162067645	0.6877184449960624	0.0586412238140241	0.6877188237365253	9.206756044937468e-32
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CommAnh	0.2301699060666247	0.0158518607940974	0.787616722024096	0.0542433653759639	0.787616794656178	9.04363611868605e-48
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CommGuilt	0.17170862291593192	0.0151440515159171	0.6606097533835579	0.0582633189140203	0.6606104753618869	8.472260632666045e-30
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CommConc	0.18990292426135288	0.0179630619108147	0.8362747621324048	0.0791037951625084	0.8362743448100823	4.024450332999461e-26
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	CommSui	0.12844328075938752	0.0145578311817545	0.6643876770486712	0.075302050473694	0.6643871607449691	1.1146506461452965e-18
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	UkbDep	0.13451483259589928	0.019244670917496	0.6346283538038938	0.0907944617124456	0.6346284618685716	2.7543830769031548e-12
E	Psyc-Soma	Psychological-Somatic	PSYCH	=~	UkbAnh	0.16277612706266079	0.0196491536556073	0.7357101613753135	0.0888095632010308	0.7357101807955659	1.1897641814539905e-16
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CaseAppDec	0.023025880700072793	0.0339688202961619	0.07216080146634067	0.10645513302417	0.07216079411136116	0.4978646421421581
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CaseAppInc	-0.11630784829141612	0.0354641351793877	-0.3198054580746256	0.0975141026465195	-0.3198053216271041	0.0010395778387726883
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CaseSleDec	-0.06975996596233507	0.0349714549897776	-0.23645795739793463	0.118538700490322	-0.23645780385762122	0.04606810588157616
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CaseSleInc	-0.06451065803109919	0.0325976806888891	-0.26154768074745427	0.132161746038692	-0.2615476171565156	0.04781653143879181
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CommAppDec	-0.12821607681762676	0.0178322491201987	-0.5857157688852915	0.0814612465977624	-0.585716027388025	6.473265295534795e-13
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CommAppInc	-0.21655720853188504	0.0238968596945609	-0.5944816456037069	0.0656005099411841	-0.5944813735101655	1.27890335129072e-19
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CommSleDec	-0.21621146480374767	0.0200461785504328	-0.8450219303212453	0.0783468354769771	-0.845022445665062	4.0230134018079824e-27
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CommSleInc	-0.2844824394220082	0.0255642146755872	-0.927744672952437	0.0833692652509169	-0.927744973405117	9.151413834430164e-29
E	Psyc-Soma	Psychological-Somatic	SOMA	=~	CommFatig	-0.19432464752743697	0.0243275901947425	-0.7286512549575286	0.0912201761158928	-0.7286512711301059	1.3733498374384903e-15
E	Psyc-Soma	Psychological-Somatic	GATE	=~	CommDep	0.20372073743387467	0.0208341129608789	0.6913176903740702	0.0706993914905742	0.6913180710967103	1.3963169277983209e-22
E	Psyc-Soma	Psychological-Somatic	GATE	=~	CommAnh	0.15315353140430377	0.0199503357074462	0.5240764268990105	0.0682678020031203	0.5240764752280529	1.631887279774467e-14
